genes	log2FoldChange	pvalue	padj	mean_Baseline	mean_C3D1
IL1A	-1.33868699433655	0.13300238016092	0.372478525259309	316.331732447824	125.277294988121
PDIA3	0.333981046820031	0.133075531943273	0.37262746489518	7274.59908010326	9169.32124188059
SNRPN	0.709915064614741	0.133126225008588	0.372713482169581	322.495398523157	528.213662245964
GABARAPL1	0.602256857420796	0.133276346596097	0.372735625524482	756.619934317201	1149.87416534413
MYOF	0.419048538273143	0.133233268014646	0.372735625524482	4513.57756973963	6032.65389877811
SNORA8	0.619304795560978	0.133328374163958	0.372735625524482	208.784057277485	313.881768530757
SCARNA3	0.747806253789668	0.133545713740223	0.373160080621827	8.31655345497075	11.1917642532086
WDR59	-0.434349969511438	0.133659699457129	0.373366765250004	526.240412803117	388.284137076381
INPP4B	0.698437016457418	0.13374654565416	0.373497536951006	1299.78664778078	2108.58369690389
SGCB	-0.491780151554932	0.133742241149048	0.373497536951006	763.42133674928	542.272201934503
CHD4	0.235797562626854	0.133954611778439	0.373538115036632	4781.1889450518	5631.34203837473
CTSA	0.419672415399157	0.133857682815046	0.373538115036632	1153.54798295952	1542.07016093747
KRI1	-0.462460148026864	0.133858757865566	0.373538115036632	380.907267742933	276.778661743776
RWDD1	0.304376110664145	0.133921482409251	0.373538115036632	612.700579819841	759.160342237745
ANKRD17	0.307485838653811	0.134034938970746	0.373687727654882	3480.87155220238	4310.4056322697
SNORA28	0.941256293420095	0.13414416705533	0.373824694930177	1.62659509149396	3.06689658004632
IPO4	-0.505378210291343	0.134242381063831	0.373930859927016	365.118416432611	257.633338399705
GTPBP1	-0.396086090675467	0.13450762952559	0.374334432057793	682.624191045221	517.203857900045
CEP164	-0.471328696972338	0.134588122803078	0.37439093194774	322.089016763994	232.146978952918
KNL1	-0.464944188155555	0.134552522487929	0.37439093194774	1894.21978263331	1373.26149370515
ZNF395	-0.387594043534565	0.134625647376362	0.374439496205531	1176.9406234848	900.555234593931
MRPL2	-0.229321317873736	0.134705083118533	0.374548778273258	138.908814965389	119.771667392153
EPN1	-0.622676584199771	0.134833363433615	0.374625783454873	403.660146854506	261.186272061674
PCTP	-0.568531201367253	0.134823251875375	0.374625783454873	362.735421933777	243.591411094297
RNF7	-0.469408504420785	0.134858249632359	0.374625783454873	1335.2251219474	964.205137136717
ZNF789	-0.443412231499535	0.134779343730658	0.374625783454873	160.513793357287	117.795773799369
ARL15	0.534052165048489	0.135091675088494	0.375124472964172	506.965734707671	734.820861035177
WDR5B	-0.392412936818909	0.13509305778774	0.375124472964172	288.157332762746	219.555203094997
CHMP1A	-0.523259311397742	0.135168127727448	0.375277081296559	625.914972878424	434.342536409571
ATE1	0.349434569359571	0.135214656628632	0.375350415455264	980.208372119972	1247.6505302972
FABP3	0.873748281132289	0.13524655630192	0.375383123693862	112.803765300483	97.8960106722779
POP7	-0.351814955027186	0.135320447119252	0.375476512006727	233.919518586979	182.021910205945
MED24	-0.316311907697983	0.135375660095003	0.375537389655935	497.875168913241	398.836209249341
SF3B4	-0.312148519884485	0.135406186613748	0.375543463118187	472.07481024108	380.844237524855
OLA1P1	0.381033652294481	0.135580108649367	0.37586165909927	35.4778554776506	46.6115002087794
SMC2	-0.379971205765791	0.135697819724203	0.376076238831669	2458.28994412132	1890.64676428466
CBX3	0.344741498829682	0.13592304365423	0.376588566382765	4194.33257628248	5330.13726594138
TMEM237	-0.464933812615858	0.135917294131823	0.376588566382765	888.10435024058	644.779256468214
MAPKAPK3	0.436951779561359	0.135947683935091	0.376600917789312	478.792950410003	646.961976128685
SHLD3	-0.426677926115619	0.135968831951039	0.37660359272768	91.973949136744	68.2467284044168
SERPINE2	0.919548035478421	0.13607879097281	0.376796296119992	962.997230085406	1822.76615000098
SERBP1P1	0.408112420634591	0.136193590918797	0.377002285498406	66.5408848766998	90.21953408992
CCNB2	-0.538531562861716	0.136338230453618	0.377081552898788	755.313999110433	520.886385132505
MRPS11	-0.364914619758992	0.136343474673533	0.377081552898788	311.257311538448	239.368209395932
RBM14	-0.286365319756069	0.136288049457851	0.377081552898788	764.866878287873	628.628537635481
GALE	-0.680585758253977	0.136398485347263	0.377177791431525	349.561977292371	214.056522038511
UBE2V1	0.416635577938282	0.136477942952109	0.37732875509491	798.30815056137	1067.36720907613
CDKN2B-AS1	-0.809505981583583	0.136650299669682	0.377482545053481	556.912342341576	317.804815425894
PMF1	-0.406656067739863	0.136628773632107	0.377482545053481	460.118744346512	348.739856229503
PQBP1	-0.428734022052641	0.136635847658926	0.377482545053481	279.093544091494	206.978212545713
CALR	0.296894013661542	0.136726150743492	0.377622755467333	10833.7588075929	13307.4451310662
PEX12	0.288616537008777	0.136741530476568	0.377622755467333	120.405579957908	146.009474852061
SLC37A3	-0.291009541570759	0.136798874668234	0.377673268560397	765.195695474332	624.038651733264
MT1X	-0.700311583088925	0.136929188494966	0.377861380851238	1284.63426658728	790.921630345269
CLSPN	-0.486087345575822	0.136963806384391	0.37790102426922	946.283419183652	676.589344957988
SART1	-0.57336071846967	0.13702534383258	0.378014919561788	375.544367826205	251.766707045769
OSER1	-0.337685089037705	0.137210182836962	0.378357028482003	789.900578468546	625.087051868343
RALB	0.372696581146772	0.137264945202704	0.3784521095571	1342.86958713408	1740.97881300546
POLG2	-0.520236683438339	0.137311566897917	0.378468809204599	125.30080070346	86.7596047113613
COLEC12	0.980882873318958	0.137462043923495	0.378771668578326	289.406686865661	572.094678505541
WDR20	0.231555527763046	0.137501105766703	0.378823362410553	434.739761980388	513.214397281646
FBLIM1	-0.640036213315513	0.137686837251533	0.379130645408867	889.572719922666	569.800499253722
GEMIN4	-0.423570879372332	0.137693911250584	0.379130645408867	447.400450283557	334.025774536043
GCC2	0.438820424790548	0.137845940108962	0.379493249104931	1551.88568694296	2095.39019028553
CDKN2D	-0.575228203647822	0.137938923845076	0.379668193893381	155.931595247991	105.113373647233
AUNIP	-0.499125098129546	0.138014433213388	0.379789016924027	156.757116221432	112.033350090548
GNL3	0.340920239888355	0.13811658973949	0.379902058452075	1294.11953824088	1640.64849946375
GRB7	-0.650097398183543	0.13822956433127	0.380156767932424	259.892430344021	165.569750146949
RPL21P93	0.515799083256418	0.138261400738518	0.380188290271255	32.8249025683695	46.7371590677614
FHOD3	-0.944893953236499	0.138315364094888	0.380224616088775	343.973485203868	178.826852277251
RNU1-2	-0.952732980328713	0.138570943788116	0.380758917845124	1178.20790165757	607.717441317406
IGHMBP2	-0.571520916493379	0.138890385469849	0.381412007780337	197.579011823746	132.947780305087
TPMT	0.439156605827053	0.138937393576083	0.381484956464054	738.235302219342	993.513956013617
LPAR2	-0.430876391869772	0.139000353445121	0.381601676516988	135.950379243232	101.019886924435
STEAP4	0.985607687398673	0.13913398228814	0.381856171421781	1896.74059320594	3756.88956147779
MPV17	0.230999434217716	0.139247803208136	0.382056169366832	240.119534647608	283.925214427282
SASH1	0.413131095043597	0.1392281955066	0.382056169366832	1022.90806270289	1363.00843713672
SLC25A16	-0.298608798216254	0.139295855196152	0.382076604298848	626.653137065187	507.042458886908
STARD10	-0.662852749443917	0.139296202521172	0.382076604298848	330.387568535985	206.497851476805
DLEU1	-0.567270979775839	0.13937989601124	0.382137652008484	488.949793608304	330.282161619346
H3C3	-0.929116639752319	0.139493080140928	0.382391784255873	594.130721033244	311.568107919952
ACSF2	0.562929294484593	0.139827504657308	0.382936567976398	181.191138784374	266.458514696793
CEP95	-0.49222350068586	0.139802156288108	0.382936567976398	620.626079005433	441.912979296887
SLC9A6	0.291101687382984	0.139839542536114	0.382936567976398	775.236244441336	951.744049237471
ZBTB7A	-0.518318265002738	0.139855986643041	0.382936567976398	430.094785922114	298.922138352399
ATP2C2	-1.14141955443397	0.139924992325386	0.382997668139993	319.457184571501	144.136673941495
FLRT3	-1.09797000330396	0.139933165576365	0.382997668139993	573.067664167937	1430.89624039754
LRIG2	0.40644380997122	0.139960715585222	0.382997668139993	886.406846388066	1173.68978830949
PTER	0.367546113279975	0.140001977097999	0.382997668139993	475.325503820288	611.484729289128
SLC7A5	-0.871734941284288	0.140021977065972	0.382997668139993	1400.16401072603	765.185723697567
GTF2H1	0.249580828966426	0.140438039415023	0.383730237947894	1003.55983522438	1194.98862387594
OCIAD1	0.331078118872244	0.140433920243239	0.383730237947894	1260.82793254376	1585.28192413305
PSMD6	0.315448627150249	0.140484477069517	0.383747529576496	816.594442987928	1017.8591490263
RPL23A	0.398828758626428	0.140506271397535	0.383747529576496	5381.54755071849	7097.05542515989
UBALD2	-0.438682589647305	0.14055830515751	0.383789577734729	277.633671196099	203.862780646663
TOLLIP	-0.536541632132832	0.140691222496302	0.384096300187416	479.696263939666	330.393252680886
CWF19L2	0.34455026133798	0.140771854327791	0.384260210906464	537.05383090691	683.81297219462
H2AC15	-0.717672874372666	0.141174845033662	0.384909790813578	128.716813211887	77.1891214431771
SURF6	-0.345644299002564	0.141297225431182	0.385130912437316	342.532410423605	267.647569481847
DPAGT1	0.318203495754424	0.141399104691636	0.385352313939817	233.782029211236	287.793611626895
BTRC	0.344650013856035	0.141444174072667	0.385411973026465	602.973696299828	768.276827592442
DEPTOR	0.688903314462144	0.141507313941339	0.385422051984437	256.416208787242	413.906974949674
CDC27	0.314728389726377	0.141618705333304	0.385556615336948	2290.6646050721	2851.23976694145
SLC35D1	-0.571127988944322	0.141591255450448	0.385556615336948	1384.57661476477	930.992705490399
UGCG	0.440247232999593	0.141797355431783	0.385986674304459	2482.20306694218	3368.89469965008
AP5S1	-0.315734393859759	0.141888579646896	0.386106827753159	191.897339937597	153.252593241929
PLEKHG2	-0.53750706031829	0.141915002298734	0.386106827753159	295.939110339145	203.967336890918
PMS2P11	-1.1838104967364	0.141924262141421	0.386106827753159	37.7961050445331	16.201450445354
CGRRF1	0.428846789450594	0.142039414369855	0.386363771449197	191.783974049109	253.866612403722
GNG11	0.663031323344665	0.142183923511426	0.386530271440101	240.007435648141	379.450861013466
NAP1L1	0.364326675440789	0.142204196861538	0.386530271440101	5097.29083270675	6565.11113430839
ELOB	-0.579981399514679	0.142291685126854	0.386624976044057	674.491954049761	449.393757858694
RMRP	-0.731456359078227	0.142301196970557	0.386624976044057	56663.6412129224	34127.4220414685
MYBL1	0.505017560005491	0.142368319742595	0.386751033104794	176.211670367821	251.981175488148
PSMD4	-0.244349921832238	0.142436980774532	0.386881231623402	1678.80858000548	1419.81503916402
MPPE1	-0.317549508458963	0.142521509337746	0.386915291734605	391.278734552352	310.87817923205
SNORA73B	-0.756438233097712	0.142532088992511	0.386915291734605	21817.3879553585	12911.5872694852
TMED1	-0.571047862929295	0.142537057460665	0.386915291734605	157.913397598596	106.054208993636
SLC39A14	-0.869392238455622	0.142605784484926	0.387001736254903	2428.56340781822	1329.32282831558
MCAT	-0.358216371017609	0.142736643677325	0.387282439868979	93.9839416299365	72.7178832847743
NAA35	-0.291876048430807	0.142757064935493	0.387282439868979	911.874756039558	743.663168042943
PLA2G4C	0.639386288681415	0.142778042507783	0.387282439868979	80.7313265834941	126.330021697269
RTL10	-0.352690304377602	0.142848987940169	0.387380048679487	512.305826271903	402.592249812939
ACVR2B	-0.528315029016402	0.143004388611892	0.38763246535414	550.935279739431	382.538304750336
TIGAR	0.379759911966743	0.142996220059122	0.38763246535414	488.008348461679	636.837774566848
ZC3H12A	-0.786774260184367	0.143058928773075	0.387667675124249	336.203668362847	194.076858092784
PRMT3	0.38413965511292	0.143093085076524	0.387703930234927	482.109109742038	629.304236159037
GORASP2	0.221274583678009	0.143256397075836	0.388033730502991	883.048783731891	1025.087771983
TOX4	0.267860908253217	0.14336251270682	0.388264802192927	1317.73523269198	1590.47717918098
HAPLN3	0.637653185562326	0.143434228694263	0.388400399365021	133.678654260826	207.939410403327
SPC24	-0.454321566015033	0.14345420966901	0.388400399365021	308.271212613954	225.624415599717
TUBB6	-0.518531983538098	0.143489841139581	0.388440510034033	1608.51269836141	1123.79764801539
CD209	0.834755619034534	0.143688411376769	0.388865229338725	239.882396583733	201.713786999328
GLG1	0.253302354891735	0.143775326642791	0.389044024819385	4040.86555559211	4812.77357509597
NME6	0.218886771633699	0.143838443531424	0.389089011081749	361.656872264847	419.918462079641
PLVAP	-0.714320029239741	0.143863658716786	0.389089011081749	284.651715187527	172.755890010684
RCOR1	0.455365280824944	0.143896209296632	0.389089011081749	1676.98322536779	2301.85764148421
SHROOM3	-0.918282907326259	0.14384142098724	0.389089011081749	626.311780005937	329.331901637705
MANBAL	-0.406574923164632	0.143924410684078	0.389108881971153	420.176948505436	317.718758769835
LYSMD2	0.448933509619659	0.143981336639663	0.389206394567015	193.29565895828	263.06244153264
FBXL3	0.287690878871584	0.14402312468326	0.389206590382279	1771.54314183001	2161.90470476279
ZNF85	0.844206851917055	0.144172504753533	0.389441073928912	86.4996639613786	154.866726147552
ITGB1P1	0.505679190656376	0.144233694275305	0.389549968906815	879.677322401202	1250.16153936946
CSF2RB	0.875863924234201	0.144347355909617	0.389744126938715	433.324843787931	794.587092255641
IER2	0.697336901408395	0.144376271465283	0.389762214197135	1216.76193524292	1972.83415513264
POLL	-0.443931852373951	0.144446768850835	0.389762214197135	139.624088759355	100.841360816632
PTP4A2P1	0.466747583163309	0.144412165770764	0.389762214197135	9.50138394151392	13.7119143732288
RARG	-0.583238579875307	0.144449145581907	0.389762214197135	921.318876563427	615.450271065074
ZNF564	0.375407071448506	0.144458492678852	0.389762214197135	416.669384483455	539.564194786203
BEX3	-0.587326142717705	0.144491625164982	0.389795247300646	786.492287225907	524.260809640195
GSTK1	0.381345435445457	0.144668174642912	0.390158713518824	914.155713542731	1181.97145909276
IGKV1D-12	1.79663005882193	0.144713784064205	0.390190297575671	14.2916950113045	50.0100912984441
PIM1	0.554115953153662	0.144721706833935	0.390190297575671	1163.75580590842	1710.31223870809
RPS16	-0.514091526375227	0.144783688221814	0.390244637038719	1769.70760008512	1238.18391290198
ERLEC1	0.391630322047459	0.144842999538312	0.390258053863573	1236.88216890283	1615.69789690773
H4C16	-0.713459689221954	0.144819640905619	0.390258053863573	467.856860568513	284.67622312333
MINK1	-0.530774887738127	0.144858441579628	0.390258053863573	1279.08483028087	885.089013891692
SRRD	0.318636102477423	0.14488573753055	0.390258053863573	525.268334314584	658.641215303475
CASP10	0.612615222020095	0.1450015412397	0.390327828042479	623.274030209596	938.007950595016
SNORA58B	-1.12451742996331	0.145000401205036	0.390327828042479	4.0313187251822	1.65908452131765
PRDX2	-0.514905723660467	0.145051969046011	0.390400022921027	1038.10362159636	725.58404583841
VAMP7	0.302208786442416	0.14507147689895	0.390400022921027	1081.66413909254	1336.10517571124
MID1IP1	-0.471140001568118	0.145226692559113	0.390648707388359	363.97302732436	261.021835167082
DTX3L	0.407604464549126	0.145597643242312	0.391477236729329	4478.90441351491	5941.71907580497
GCSH	-0.469915089839624	0.14574088275061	0.391749477402244	389.265980425364	281.999513752783
MATN3	0.969982408336178	0.145880887022086	0.391956422150055	76.6013681195377	150.647298042097
ZNF256	0.76464403671567	0.145873411439441	0.391956422150055	87.4013760225638	147.719479750887
RPL5P34	0.458278052273814	0.14593484717071	0.391968571289024	36.8011240709791	51.7102368613468
SFI1	-0.315348717926313	0.14594842622273	0.391968571289024	230.741188978495	133.076901456078
CHMP6	-0.630013792489531	0.146075301959805	0.392139999218812	90.506977229062	57.5833138232181
STUB1	-0.506670954130493	0.14609676013611	0.392141188742781	342.729410654267	240.429988122655
GON4L	-0.444284891770512	0.146274287841705	0.392489992129493	1961.85737242407	1441.97094261776
KANSL2	-0.280033569954352	0.146282339556336	0.392489992129493	745.877416323082	614.844756897295
SUDS3	-0.258341087992035	0.146289812179026	0.392489992129493	1892.83003704745	1585.80104236748
IL12RB2	0.909734953772907	0.146340885712351	0.392527138282347	294.477571967058	554.342036447059
KLK6	-1.71828272783185	0.146345728886939	0.392527138282347	504.785114717218	47.110545322252
LRSAM1	-0.467709387716802	0.146382923700389	0.392570473735162	229.482046447263	164.669058049278
IGFL1	1.67122286792128	0.146414606115891	0.392578025633464	162.736288816924	518.849229042413
PURA	0.392781344223294	0.146485369255894	0.392675907242491	1413.60676774572	1857.11513063759
KCNE4	0.860084361488209	0.146517230465697	0.392704900960917	103.232559528206	188.022779553212
RPS27P3	0.817761908219431	0.14655807065288	0.392708759286789	17.1061093482214	30.7107016973829
FAM13B	0.298501549688488	0.146626142438856	0.392799658913789	996.849944319392	1226.88209778354
DNAJB11	-0.344863809442857	0.146743544907705	0.392898617543092	1566.66071654417	1234.92666017451
ERRFI1	-0.639932851726926	0.146767987366027	0.392898617543092	1466.52090156777	941.32135258555
NDUFA11	-0.64647141615902	0.146783041295669	0.392898617543092	404.184512759484	257.288186716918
SNORA72	0.634305666721411	0.146724479138567	0.392898617543092	7.95736367488301	11.7627003443398
WDR47	0.437912515849977	0.146839921401079	0.392948936375182	639.375081650621	868.410017869301
ARG2	0.764971051724026	0.146939207406783	0.393043897618125	274.752103679106	468.164268885435
BAD	-0.626075451450562	0.146918977720042	0.393043897618125	113.439396651942	72.1352461248576
FOS	1.16983421244168	0.146986394706305	0.393043897618125	5885.59560357344	13241.9875288335
VIRMA	0.26586142848184	0.14702235500885	0.393043897618125	2289.50714534273	2756.93160402847
RNF13	0.42301404133026	0.147220998085606	0.393348199352436	2063.08038941876	2766.79661841263
LCN2	-1.38426439172017	0.147269421532195	0.39336493068863	716.230807885026	273.978361437356
EXO5	-0.500122145116386	0.147317747486274	0.393420788597149	222.930999021903	157.928063218072
MUC4	-1.45558737617991	0.147395752040872	0.393420788597149	1492.39659444466	543.247410214491
RDH13	-0.675293371232173	0.147468431902251	0.393483715827567	123.671854064105	76.0906932470455
RGL2	-0.405907933293154	0.14748042318157	0.393483715827567	561.360674150481	423.181719855553
FBXO3	0.374050373711019	0.147573610323122	0.393670274285841	1358.43907538345	1761.14187796573
NTPCR	-0.267329647515766	0.147625685920659	0.393696627022939	580.346907477156	482.547598838988
MRFAP1L1	0.253720869175004	0.147836758891844	0.39397799499026	991.52110747702	1183.90766377395
PICALM	0.389702617159927	0.148063307847856	0.394300174745396	3784.34319531313	4958.58985612217
ADGRL4	0.607647394755093	0.148159210944611	0.39445426877311	341.438233120782	520.88036701024
TRIP10	-0.453279870027771	0.148274985107505	0.39463859964428	448.240637498048	326.407504756799
DNAAF2	0.295524159347405	0.148335807629294	0.394744177176644	287.908373590829	346.573226042552
DCAKD	-0.328757208590587	0.148603405904522	0.395021456747927	356.532802943529	284.067895026726
IQCB1	-0.402975419282331	0.14860669327312	0.395021456747927	624.188096090695	473.162945796689
KLHL22	-0.406390763439147	0.148523390455398	0.395021456747927	164.082397142272	123.413387315024
PTTG1	-0.477400523334264	0.148557398789482	0.395021456747927	1134.95657338125	816.759423545456
SUDS3P1	-0.339934617896287	0.148636329040998	0.395021456747927	47.467615203766	37.4988204889525
PARD3	-0.438823660805018	0.148701669627362	0.395030499537536	2476.334934226	1827.54265013208
NFKBIE	0.461028594323743	0.148829301087211	0.395119763024811	140.175317463717	193.77344556256
MFSD2A	-0.839243371196294	0.148943703571452	0.395290784901621	261.590864245935	145.644462714494
COMMD5	-0.366946706381239	0.14896564702577	0.39529280055473	191.442705336547	147.54586217517
TRAPPC3	0.282899071146785	0.149069580903382	0.395399911820483	955.612885174594	1163.69791473604
SDHAF4	-0.32915993321031	0.149142530370875	0.395480974381202	128.536166370875	98.4997699835253
RAB6A	0.364104539273994	0.149176557417178	0.395514998778706	3140.05472378951	4042.9516293106
CENPA	-0.492154082946987	0.149305317183824	0.395800144715179	288.59528273348	205.908438413282
H3P6	-0.444908470020538	0.149344843913875	0.395803403656245	751.884750772015	545.914136222583
ATP23	-0.353656733520814	0.149542725237262	0.39626061529783	136.119977973356	106.68839302005
ELP1	-0.427150029279976	0.149743944349184	0.396568549752452	1737.78133870131	1293.66400855669
E2F2	-0.557414221197794	0.149812769491368	0.396694519470546	369.765620649823	251.913143490998
MACIR	-0.512604881218391	0.149898612157693	0.396863049213411	334.967215446352	230.653513315014
ODF2	-0.391630531001106	0.149918951441872	0.396863049213411	754.288990448109	575.12834513656
IFIT3	0.728890179869612	0.149967351699231	0.396934862795412	1366.6129950642	2265.59050551612
THAP4	-0.555669255835304	0.150001206251972	0.396968161773052	244.35857764022	165.829640150305
RPS6KA4	0.563999251897992	0.15006780186542	0.39708808604775	444.064700132654	656.121819097072
EMP2	-0.422965074796422	0.150194727966989	0.397254943141603	4871.23155137447	3634.69448782586
ZNF234	0.464476430418184	0.1501857518524	0.397254943141603	204.720941715924	281.754420582513
ARL2BP	0.336476870469225	0.150240264837307	0.39731906772451	1063.96539445747	1345.57137647166
EIF4BP7	0.415937666483018	0.150328450185853	0.397495944518637	61.9279493972268	83.8634067460859
NOM1	-0.35697738137919	0.150420722332649	0.397683575903546	541.605372041548	422.965858012416
BACE1	0.377561472378333	0.15055444446168	0.397924353208917	542.581657947709	708.238460972961
CCNB1	-0.453225338975492	0.150622224325846	0.397990754165998	1555.75053696011	1137.28767395096
PEX10	-0.2979658579868	0.150605795313511	0.397990754165998	170.038149316201	138.493572354373
KAT14	0.263436764107828	0.150762160889554	0.398247723980618	378.54809750149	457.372127112583
GALNT7	-0.557627070941873	0.150822665484542	0.39835115894431	1482.62585839705	1002.44883184712
ACTR3B	-0.435085662361694	0.150863913551751	0.398403711700493	77.3545575620534	56.9210040664174
CTPS1	-0.352726556905823	0.15092955599647	0.39845722948587	1013.64929355509	795.861889747572
GALNT2	-0.393495589366785	0.1510096469643	0.39845722948587	1747.2023979832	1331.22051346378
SNHG4	-0.542119823323788	0.15097448324747	0.39845722948587	214.229716391476	147.626521939607
TACC2	-0.735608771945599	0.151033654027522	0.39845722948587	1352.51642793438	812.000411624001
HPSE	0.540536281148284	0.151188065187176	0.39876013376092	431.232840228278	628.083877782059
MBD2	0.316745014038687	0.15119120827216	0.39876013376092	1972.0798526038	2459.5337837079
ASB6	-0.368868747641501	0.151379036254851	0.399056679979354	262.167520572551	202.328237808755
BAX	-0.46580984668142	0.151392141442259	0.399056679979354	225.338964131944	162.223604429075
CIPC	0.332597034979656	0.151474730133642	0.399056679979354	614.382510999208	773.390744902772
CYB5R1	0.542945802942311	0.151448410343629	0.399056679979354	1239.69879595354	1807.91246373684
SEC14L2	-0.764369469914995	0.151458465104318	0.399056679979354	418.52474554863	247.002352311816
TBC1D2	-0.568551994850802	0.151463786698387	0.399056679979354	468.436833187471	314.724726178846
BRI3BP	-0.363775465402612	0.15151417925337	0.399104260992079	1763.01764238035	1370.49889552226
PPAN	-0.681700417407776	0.151545414386448	0.399130195123658	159.337542059721	99.1459681030448
TMEM54	-0.790891106380103	0.151631639213872	0.399300929682593	446.31860999144	256.942277265284
LAMA3	0.827124875647641	0.151670601936711	0.399347175411179	4506.68023247292	7995.67439301276
ZNF768	-0.500148613089361	0.151715606134799	0.399409312990314	295.060926747176	208.352805512558
ARPIN-AP3S2	0.318090878385345	0.15178825163662	0.399544191781538	395.619070504486	493.964503730331
PSMA3	0.31347390160429	0.151887113282137	0.39969165616199	1317.63780797184	1637.06171720404
OSBPL11	0.280391999793601	0.152002860969019	0.399939845696826	907.518600218397	1107.26477497944
PDCD6IP	0.320804825869072	0.152054828513394	0.399963786306728	3076.40752277038	3831.3081892039
SCO1	0.258478356376251	0.152096417419133	0.4000167933814	706.585886933379	843.350711789401
ERBB2	-0.507202799381286	0.152202693303773	0.400183494018373	1556.2261642135	1093.76961673809
NIPA2	0.226369299586908	0.152448208675177	0.400418960196861	1143.57992770629	1338.15184148989
ZFAND5	0.281828927773117	0.15246391812426	0.400418960196861	3670.64126104416	4462.80522989205
ZNF276	-0.570350633489951	0.152460696549979	0.400418960196861	269.115304856718	179.839591465108
CEP89	-0.286579690388692	0.152741269713604	0.400993553622183	351.322848183346	288.53685920024
ARHGAP10	0.301929336609324	0.15283525944168	0.401063319163514	399.257636008403	495.139445967474
CBLB	0.459546121647391	0.152840844749351	0.401063319163514	649.089223445666	891.450421841373
CDK4	-0.302315832758136	0.152813879106062	0.401063319163514	1318.02835564766	1071.66850418345
SSBP4	-0.579834758447196	0.152893029195831	0.401094323744441	96.9693465091582	64.2432737161301
IGKV1D-27	1.70271327787224	0.152970193137648	0.401183949957628	9.22171073134016	479.290103731642
PINLYP	0.696655844221031	0.153002886482482	0.401203189315221	36.1522299186911	59.1553903063153
DCTD	0.254048368910219	0.153082619653785	0.401232912962559	889.871542398984	1060.98183384988
EIF4A2	-0.495259730559149	0.153098771897465	0.401232912962559	9777.37193283184	6936.81527756701
PAWR	-0.391663699629151	0.153139519122425	0.401233280935757	2687.20374558463	2048.75343799705
ARSD	-0.465187779899139	0.153327352118082	0.401445543927726	1135.02598285683	820.663709425241
PIKFYVE	0.313186964114001	0.153266020298307	0.401445543927726	1676.89651512067	2084.51231511328
SNORA1	-1.35685505363988	0.153276182816259	0.401445543927726	5.61152709455221	1.26147992111398
SYNJ2BP	0.279020832993951	0.153328102442278	0.401445543927726	1179.49774556535	1428.97361343662
PANK3	-0.34886198452423	0.153383956650918	0.401535442074372	6039.02423349778	4742.63149369764
HES2	-1.0246111808342	0.153445702613446	0.401584405437154	1632.83157003193	802.898841770623
AP1G1	0.295437068165412	0.153589440904568	0.401678902211527	2822.9550316433	3460.61580388014
C1orf174	-0.248106596518174	0.153513905814424	0.401678902211527	424.929320723038	357.155985133416
EPHA2	-0.754944853359328	0.153579934106357	0.401678902211527	1097.16609023367	649.725340799499
ZNF792	0.452458616470419	0.153537423816758	0.401678902211527	144.470553436506	196.958795054503
DDX55	-0.286836912107868	0.153642867848596	0.401723238004877	391.707540702556	321.163182112832
NOPCHAP1	-0.369847919189865	0.153722479550489	0.401723238004877	749.775893452418	581.305264653223
OFD1	-0.348623582373034	0.153689250898734	0.401723238004877	849.168824018838	666.430932468066
USP16	0.305653172982661	0.1538006570503	0.401837056925035	1199.5137127107	1482.00955906901
SEMA4D	0.506737308249676	0.153861986003106	0.401941013414247	614.347007267104	873.004320138019
GMPS	-0.351371094904429	0.153896418623174	0.40197468806109	3135.57577923943	2459.79248521842
ZKSCAN4	0.292670005737245	0.154191909460875	0.402464824526496	178.280492239784	219.075891522433
ZNF689	0.256097814181189	0.154298087761774	0.402629327036036	145.035020908151	173.010445008459
APOL2	0.481645525857354	0.154463469285763	0.4027229756703	902.68406345125	1260.43766417826
DNTTIP1	-0.38290194206228	0.154430754503629	0.4027229756703	222.265470654568	167.008618047123
GSK3A	-0.392504574607695	0.154371294772523	0.4027229756703	224.041076386714	170.219839244701
MAN2B2	0.380873616266648	0.154459104298406	0.4027229756703	375.158501769541	485.285864756356
SELENOK	0.416018414520885	0.154381990167748	0.4027229756703	695.163479170807	919.798946695551
CDC42	0.268021769938409	0.154521464470714	0.402761632493858	6867.3476325116	8269.17744288637
MRPS28	0.29312033422495	0.15450553785792	0.402761632493858	336.031394850678	414.700810601198
STIL	-0.412713301401729	0.154543192544689	0.40276200738602	810.196384039319	609.51123718433
ACO2	-0.347065531632105	0.154679211265509	0.402825093884578	1098.08767361544	860.653538973746
EMC2	0.343372679198888	0.15469692512202	0.402825093884578	947.947853392165	1205.69306572638
F13A1	0.887172423272668	0.154695310286843	0.402825093884578	894.404728297057	1654.88779337248
NDUFAF8	-0.418784201405679	0.154599945359273	0.402825093884578	226.504495781968	170.339715000207
RNF187	-0.37408437904752	0.154662461047031	0.402825093884578	1124.79378957136	869.462170358936
TTC38	-0.639536373184019	0.154679111145194	0.402825093884578	306.073522009168	192.085290655571
TIMM17B	-0.420347233557211	0.15489284944659	0.403130389646918	286.501699423517	213.640574223157
TNPO1	0.265403761823415	0.154893033117596	0.403130389646918	4433.67263997417	5328.56312890894
TRANK1	0.467470110698219	0.154900583803237	0.403130389646918	1085.26379907647	1495.51735174723
